A1,A2,A3,A4,A5,A6,A7,A8,A9,¿Ã≈ªø©∫Œ
25,D,M,C,151.231000,29,116,516.800000,A,1
17,D,M,G,132.715000,28.500000,212,850.800000,A,1
35,D,M,E,176.015000,33.600000,274,844.200000,A,0
13,D,M,K,163.333000,35,198,875.900000,A,0
59,D,M,G,147.510000,12,329,927.900000,A,1
25,D,M,C,136.708000,17.400000,75,669.300000,A,1
44,D,M,C,158.019000,12,177,666.300000,A,1
32,D,M,C,149.076000,0,176,610.500000,A,1
49,D,M,K,153.179000,0,65,543.300000,A,1
43,D,M,G,128.458000,0,213,744.600000,A,1
22,D,ML,G,147.139000,0,56,479.400000,A,1
36,D,M,C,159.378000,24,174,716.100000,A,1
25,D,M,G,173.761000,10.200000,204,901.200000,A,1
18,D,M,K,127.445000,42,71,502.800000,A,1
44,D,M,K,138.645000,25.500000,105,844.500000,A,1
18,D,M,C,144.459000,35,187,647.300000,A,1
39,D,M,C,152.083000,22.200000,217,591,A,1
26,D,M,K,160.374000,25.200000,177,812.700000,A,1
27,D,M,C,145.632000,7.200000,146,784.500000,A,1
25,D,M,G,149.387000,41.400000,91,525.300000,A,1
46,D,M,G,167.920000,34.800000,269,788.700000,A,1
36,D,M,C,149.956000,31,209,855.100000,A,1
25,D,M,G,132.575000,33,105,574.200000,A,1
33,D,M,G,183.352000,21,337,992.100000,A,1
23,D,M,K,149.235000,44.400000,256,705,A,0
21,D,M,K,146.706000,21,148,524.700000,A,1
41,D,M,E,163.164000,0,143,769.200000,A,0
31,D,M,K,121.214000,39,134,597.600000,A,1
53,D,M,G,153.415000,49.800000,172,675,A,1
22,D,M,K,139.677000,17.400000,172,617.100000,A,1
26,D,M,E,146.449000,37.800000,148,836.400000,A,0
37,D,M,E,127.519000,48.500000,86,635.300000,A,0
35,D,M,C,174.220000,24.500000,243,902.600000,A,1
17,D,M,K,123.449000,44,131,531.800000,A,1
24,D,M,G,139.247000,16.800000,114,730.800000,A,1
29,D,M,B,198.915000,0,326,816,A,0
35,D,M,B,201.132000,5,364,851,A,0
23,D,M,E,177.279000,0,253,748.200000,A,0
30,D,M,G,160.370000,4.800000,327,962.700000,A,1
39,D,M,C,128.009000,19.800000,98,632.100000,A,1
23,D,M,C,162.617000,42,279,678.900000,A,1
26,D,M,C,149.822000,43.800000,98,738.300000,A,1
24,D,M,C,140.572000,36.600000,159,523.800000,A,1
37,D,M,G,166.358000,29.400000,306,874.800000,A,1
24,D,M,G,155.577000,17.500000,316,911.200000,A,1
31,D,M,B,204.596000,102,473,798.900000,A,0
15,D,M,K,181.947000,0,319,903,A,1
20,D,M,E,148.978000,46.800000,128,911.400000,A,0
18,D,M,E,168.240000,25.800000,288,914.100000,A,0
41,D,M,K,155.170000,48,153,529.200000,A,0
56,D,M,K,139.289000,14,149,755.600000,A,1
42,D,M,C,157.289000,22.800000,169,892.200000,A,1
29,D,M,E,142.040000,30,314,802.800000,A,0
41,D,M,K,165.927000,0,130,919.500000,A,1
20,D,M,G,147.779000,38.400000,100,630.900000,A,1
41,D,M,C,140.793000,15,159,807.900000,A,1
34,D,M,E,172.282000,22.200000,107,744.300000,A,0
16,D,M,E,157.054000,21,149,746.700000,A,1
45,D,M,E,115.582000,43.500000,94,584.700000,A,0
23,D,M,E,158.934000,30,293,988.500000,A,0
68,D,M,A,198.859000,40.500000,540,937.200000,A,1
74,D,M,B,223.355000,39,255,980.700000,A,0
27,D,M,A,201.220000,30,299,873.600000,A,1
27,D,M,H,194.106000,55.200000,369,814.500000,A,1
32,D,M,B,184.293000,82.200000,324,760.800000,A,0
28,D,M,G,178.454000,124.200000,173,677.400000,A,1
40,D,M,G,189.067000,67.200000,287,804,A,1
32,D,M,B,221.808000,0,484,865.200000,A,0
27,D,M,H,233.406000,47.400000,395,932.100000,A,1
38,D,M,A,179.285000,88.500000,242,766.800000,A,1
30,D,M,B,196.289000,76.200000,454,946.200000,A,0
47,D,M,G,185.023000,49.800000,310,707.700000,A,1
56,D,M,G,211.969000,32.400000,487,871.800000,A,1
36,D,M,G,175.845000,28.200000,104,663,A,1
63,D,M,A,211.680000,124.200000,220,854.400000,A,0
30,D,M,G,189.982000,9.600000,415,897.900000,A,1
42,D,M,A,225.251000,9,329,954.300000,A,1
38,D,M,A,180.134000,34.200000,214,689.700000,A,1
27,D,M,G,206.737000,5.400000,405,789,A,1
39,D,M,A,184.577000,31.200000,439,754.200000,A,1
46,D,M,A,210.179000,40.200000,298,863.400000,A,1
51,D,M,A,192.267000,48.600000,201,823.200000,A,0
26,D,M,H,198.833000,48,244,880.800000,A,1
41,D,M,B,212.282000,69.600000,319,875.700000,A,0
40,D,M,A,184.955000,36,285,741.900000,A,1
55,D,M,B,240.630000,27.600000,208,985.500000,A,0
39,D,M,G,210.261000,42,226,878.400000,A,1
30,D,M,G,192.219000,0,133,840.300000,A,1
51,D,M,A,207.626000,130.200000,302,797.700000,A,1
28,D,M,A,213.512000,28.800000,483,871.500000,A,1
18,D,M,G,143.302000,70.200000,342,892.200000,A,1
42,D,M,B,234.675000,40.200000,554,909.600000,A,0
40,D,M,G,199.544000,51.500000,352,860,A,1
45,D,M,B,186.706000,51.500000,255,768.200000,A,0
41,D,M,H,225.456000,50.500000,516,999.400000,A,1
51,D,M,G,180.751000,0,125,737.700000,A,1
37,D,M,H,201.002000,32,201,842,A,1
47,D,M,B,197.222000,142.200000,332,887.700000,A,0
28,D,M,B,169.533000,24,310,655.800000,A,0
40,D,M,B,238.707000,29.400000,438,972,A,0
32,D,M,H,205.763000,16.800000,467,951.900000,A,1
31,D,M,A,178.815000,61.800000,166,675.600000,A,1
68,D,M,H,219.248000,64.200000,236,885,A,1
37,D,M,A,184.534000,2.400000,383,707.400000,A,0
41,D,M,G,192.756000,48,152,805.800000,A,1
33,D,M,G,191.307000,7,166,752.800000,A,1
49,D,M,B,182.088000,19.800000,160,709.800000,A,0
46,D,M,B,186.776000,65.400000,167,783.300000,A,0
52,D,M,H,177.901000,35.400000,186,694.200000,A,1
36,D,M,H,242.145000,39.600000,374,985.500000,A,1
19,D,M,G,142.311000,52,231,570.400000,A,1
55,D,M,E,148.177000,75.600000,244,516.300000,A,0
13,D,M,C,147.763000,57.600000,489,789,A,1
26,D,M,E,172.099000,66.600000,407,771.600000,A,0
38,D,M,K,142.617000,79,368,622,A,1
19,D,M,E,172.880000,81,503,852.600000,A,0
28,D,M,E,166.809000,82.500000,456,861.300000,A,0
52,D,M,C,132.895000,90.600000,209,524.700000,A,1
31,D,M,C,125.818000,100,373,683.800000,A,1
48,D,M,K,139.834000,64.200000,313,639,A,1
33,D,M,G,143.075000,110.400000,364,689.700000,A,1
29,D,M,C,113.822000,58.200000,236,658.500000,A,1
19,D,M,C,155.229000,54,321,626.100000,A,1
53,D,M,E,155.836000,101.400000,395,921,A,0
19,D,M,K,181.444000,78,430,800.700000,A,1
27,D,M,E,124.509000,63,405,711.900000,A,0
47,D,M,G,147.424000,85.800000,429,951.900000,A,1
18,D,M,K,149.130000,52.200000,328,735.900000,A,1
36,D,M,K,132.078000,54,447,747.600000,A,1
26,D,M,E,137.295000,64.200000,290,765,A,0
58,D,M,K,174.717000,77,414,719.300000,A,1
14,D,M,G,134.811000,67.200000,330,565.200000,A,1
31,D,M,K,189.674000,55.800000,441,938.400000,A,1
18,D,M,G,162.023000,125.500000,391,826.300000,A,1
22,D,M,E,158.470000,71.400000,322,835.200000,A,0
42,D,M,C,180.801000,158.500000,393,870.400000,A,1
23,D,M,G,140.479000,64.200000,400,837,A,1
52,D,M,K,127.940000,88.500000,320,681.300000,A,1
25,D,M,G,123.091000,94.800000,349,722.400000,A,1
38,D,M,K,176.309000,117,400,916.200000,A,1
36,D,M,K,140.533000,51.600000,477,912,A,1
45,D,M,K,161.740000,63,554,904.800000,A,1
50,D,M,K,149.673000,77,310,541.700000,A,1
16,D,M,E,143.091000,77.400000,321,846,A,0
31,D,M,E,164.168000,51.600000,375,692.400000,A,0
16,D,M,K,122.341000,94.800000,370,720,A,1
13,D,M,E,112.560000,66.600000,293,572.700000,A,0
31,D,M,K,131.491000,100.800000,413,644.100000,A,1
36,D,M,B,222.953000,88.200000,227,859.800000,A,0
20,D,M,K,169.025000,179.400000,453,878.100000,A,1
20,D,M,C,143.652000,69.600000,363,636.600000,A,1
35,D,M,C,139.462000,67,188,696.100000,A,1
24,D,M,G,155.582000,61,350,590.200000,A,1
34,D,M,K,148.368000,118.200000,465,864.900000,A,1
25,D,M,G,145.232000,73.200000,376,866.700000,A,1
17,D,M,C,195.718000,54.600000,500,923.400000,A,1
27,D,M,E,144.287000,57.500000,340,834.200000,A,0
12,D,M,E,180.929000,83,433,913.100000,A,0
12,D,M,C,120.351000,65,230,539.600000,A,1
57,D,M,K,132.748000,109,374,780.400000,A,1
24,D,M,C,149.099000,59.500000,343,944.800000,A,1
27,D,M,E,139.248000,160.800000,285,599.100000,A,0
45,D,M,E,167.806000,70.800000,327,701.100000,A,0
13,D,M,E,164.390000,63,392,861.300000,A,0
25,D,M,C,165.050000,130.500000,426,937.500000,A,1
54,D,M,E,123.383000,58.800000,405,720.600000,A,0
41,D,M,G,140.885000,60,436,814.800000,A,1
17,D,M,E,157.987000,57.600000,501,836.400000,A,0
28,D,M,G,143.813000,93.600000,270,609.900000,A,1
21,D,M,C,167.932000,57,387,733.800000,A,1
30,D,M,G,160.206000,60,358,793.500000,A,1
32,D,M,K,179.024000,70.800000,494,809.400000,A,1
17,D,M,K,125.078000,54,219,639.300000,A,1
32,D,M,K,112.596000,91.200000,308,601.800000,A,1
31,D,M,E,134.813000,50.500000,458,817.900000,A,0
39,D,M,C,119.996000,62.400000,283,657.900000,A,1
50,D,M,K,193.843000,52.200000,395,901.200000,A,1
38,D,M,E,150.407000,112.800000,531,932.400000,A,1
34,D,M,E,162.912000,162.600000,486,855.300000,A,0
27,D,M,E,136.936000,123,463,792.300000,A,0
23,D,M,C,115.663000,52.200000,237,607.500000,A,1
15,D,M,K,123.798000,92.400000,379,717,A,1
12,D,M,E,130.723000,51.600000,271,746.100000,A,0
69,D,M,K,187.299000,157.200000,349,905.700000,A,1
41,D,M,K,154.641000,55.800000,307,819.300000,A,1
68,D,M,A,234.768000,66,384,963.300000,A,1
38,D,M,E,139.842000,95.400000,235,561.300000,A,0
17,D,M,K,124.563000,109,330,601.900000,A,1
32,D,M,C,148.109000,58.500000,391,758.400000,A,1
33,D,M,C,178.390000,93.500000,358,979.400000,A,1
15,D,M,G,136.068000,98.400000,401,721.800000,A,1
31,D,M,G,194.142000,110,554,950.300000,A,1
28,D,M,G,158.589000,103.800000,268,707.400000,A,1
35,D,M,E,141.338000,104.400000,341,668.400000,A,1
53,D,M,G,146.643000,82.800000,337,749.100000,A,1
47,D,M,C,108.663000,78,264,519.900000,A,1
16,D,M,E,142.001000,79,297,706.300000,A,0
26,D,M,K,120.887000,54,321,592.500000,A,1
31,D,M,H,198.500000,16.800000,328,911.100000,A,1
41,D,M,C,143.510000,83.400000,278,604.800000,A,1
12,D,M,E,107.270000,63.600000,240,594.900000,A,0
28,D,M,E,148.139000,73.200000,452,888.600000,A,0
21,D,M,E,120.683000,70,354,736.300000,A,0
59,D,M,G,155.162000,50.400000,403,741.600000,A,1
47,D,M,K,154.917000,80,228,652.100000,A,1
16,D,M,C,166.498000,62.500000,417,901.600000,A,1
29,D,M,H,209.038000,11.400000,363,940.200000,A,1
12,D,M,K,126.259000,85.800000,241,582.900000,A,1
47,D,M,K,126.214000,68.400000,301,622.800000,A,1
23,D,M,K,137.967000,91.500000,318,823.500000,A,1
13,D,M,C,118.358000,66.600000,192,510.900000,A,0
37,D,M,G,128.851000,70.800000,306,556.200000,A,1
50,D,M,E,192.439000,88.200000,454,881.700000,A,0
38,D,M,K,135.620000,69.600000,285,613.800000,A,1
60,D,M,K,178.323000,69,519,974.100000,A,1
32,D,M,B,198.161000,6.600000,235,771.900000,A,1
19,D,M,G,154.226000,51,225,540.900000,A,1
12,D,M,C,151.584000,55.500000,361,633.900000,A,1
44,D,M,C,165.167000,61.200000,298,732.300000,A,1
44,D,M,K,147.746000,67.200000,220,516.600000,A,1
34,D,M,E,163.612000,55.800000,370,795.300000,A,0
20,D,M,G,150.930000,85.200000,174,545.100000,A,1
45,D,M,G,137.681000,70.800000,240,839.400000,A,1
30,D,M,E,130.782000,57.600000,258,549.300000,A,0
15,D,M,C,157.391000,53.400000,434,775.500000,A,1
24,D,M,G,178.132000,59.400000,362,926.400000,A,1
31,D,M,E,118.492000,108.500000,309,557,A,0
22,D,M,C,139.651000,82.800000,485,810.900000,A,1
22,D,M,G,156.714000,79.800000,454,810.900000,A,1
56,D,M,C,159.712000,53,326,779.300000,A,1
51,D,M,C,145.833000,69.600000,280,797.700000,A,1
39,D,M,K,150.073000,60.600000,195,587.400000,A,1
44,D,M,E,154.571000,55.200000,448,784.500000,A,0
54,D,M,C,155.677000,108,223,631.500000,A,0
45,D,M,E,173.381000,85.200000,351,756.300000,A,0
18,D,M,C,160.092000,65,398,680,A,1
44,D,M,G,162.328000,70.500000,279,891.300000,A,1
34,D,M,C,153.819000,95.500000,201,599.200000,A,1
28,D,M,E,164.901000,52.800000,326,791.400000,A,1
19,D,M,K,190.133000,118.200000,256,883.800000,A,1
47,D,M,K,161.869000,64.800000,595,976.800000,A,1
29,D,M,C,140.435000,68.400000,209,536.100000,A,1
15,D,M,C,192.386000,75.600000,595,984.900000,A,1
25,D,M,E,160.374000,91.200000,281,704.100000,A,0
21,D,M,K,177.112000,94,471,951.400000,A,1
24,D,M,K,155.034000,55.800000,237,826.200000,A,1
45,D,M,E,163.557000,77,276,645.500000,A,0
21,D,M,C,156.540000,52.800000,324,865.200000,A,1
56,D,M,K,110.521000,65.400000,209,534.300000,A,1
12,D,M,K,154.399000,66,343,781.200000,A,1
17,D,M,K,131.863000,66,338,822.600000,A,1
61,D,M,K,162.580000,60.500000,301,702.500000,A,1
47,D,M,G,163.811000,115.800000,403,824.400000,A,1
33,D,M,C,165.442000,67,335,827.200000,A,1
19,D,M,G,186.397000,80.400000,350,955.200000,A,1
19,D,M,K,134.593000,72,259,652.800000,A,1
41,D,M,K,148.591000,99,285,815.400000,A,1
25,D,M,G,148.806000,59.400000,294,671.100000,A,1
42,D,M,C,136.322000,52.800000,306,534.900000,A,0
22,D,M,C,154.672000,57.600000,344,695.400000,A,1
41,D,M,E,186.195000,130.800000,350,900.900000,A,0
21,D,M,G,141.009000,118.800000,355,781.800000,A,1
15,D,M,E,188.077000,64.200000,511,919.200000,A,0
58,D,M,C,169.647000,55.800000,223,706.200000,A,1
29,D,M,G,111.113000,84,168,561.900000,A,1
13,D,M,K,111.296000,100,278,640.900000,A,1
49,D,M,E,134.909000,71.400000,427,780,A,0
20,D,M,E,142.617000,52.200000,307,843,A,0
19,D,M,E,175.377000,57,471,886.200000,A,0
12,D,M,C,193.538000,76.200000,482,937.500000,A,1
33,D,M,C,166.458000,69,276,709.800000,A,1
30,D,M,E,166.631000,86.400000,264,850.200000,A,1
45,D,M,H,173.071000,69.600000,168,655.200000,A,0
44,D,M,K,131.013000,92.500000,227,576.400000,A,1
17,D,M,E,155.615000,80.400000,398,756,A,0
31,D,M,C,149.217000,83.400000,239,522.300000,A,1
38,D,M,K,158.174000,51,335,820.800000,A,1
67,D,M,G,117.651000,108,197,550.800000,A,1
31,D,M,C,149.984000,111.600000,177,560.400000,A,1
18,D,M,K,152.664000,140.400000,253,653.100000,A,1
22,D,M,E,148.569000,67.800000,220,593.700000,A,0
45,D,M,C,124.379000,64,302,642.700000,A,1
31,D,M,K,197.984000,62.400000,494,918.900000,A,1
22,D,M,E,129.472000,107.400000,169,569.400000,A,0
56,D,M,K,122.971000,66,241,584.100000,A,1
27,D,M,G,158.171000,124.200000,437,819,A,1
43,D,M,C,132.220000,100.800000,300,647.400000,A,1
18,D,M,E,150.218000,82.800000,283,954.600000,A,0
12,D,M,C,117.317000,56.400000,314,677.700000,A,1
56,D,M,K,147.980000,65.500000,255,657.400000,A,1
28,D,M,E,153.715000,85,294,673.300000,A,0
31,D,M,G,160.978000,72.500000,410,891.500000,A,1
51,D,M,C,161.864000,72.600000,256,650.400000,A,1
32,D,M,G,144.109000,64.800000,518,856.500000,A,1
24,D,M,E,175.850000,60.600000,191,813.300000,A,0
19,D,M,C,169.876000,75.600000,498,850.800000,A,0
20,D,M,E,155.767000,58.800000,361,942.300000,A,0
15,D,M,K,143.433000,164.400000,441,735,A,1
47,D,M,C,119.792000,64.800000,304,618.300000,A,1
20,D,M,E,168.178000,60,311,910.200000,A,0
32,D,M,G,137.462000,54,242,605.700000,A,1
20,D,M,K,169.241000,81.500000,397,912.800000,A,1
15,D,M,C,110.874000,76.500000,216,512.700000,A,1
31,D,M,G,173.153000,52.500000,345,849.900000,A,1
58,D,M,K,172.414000,100.800000,344,847.500000,A,1
16,D,M,E,130.588000,65.400000,195,508.800000,A,0
31,D,M,K,127.860000,98.400000,227,710.100000,A,1
35,D,M,K,137.513000,91,269,812.800000,A,1
15,D,M,K,200.791000,50.400000,245,981.300000,A,1
14,D,M,E,138.344000,66.600000,236,504.900000,A,0
18,D,M,K,128.237000,90,184,585.300000,A,1
13,D,M,G,154.515000,59.500000,461,843.100000,A,1
19,D,M,E,117.796000,54,160,528,A,0
25,D,M,K,112.496000,63,229,629.700000,A,1
15,D,M,K,134.567000,99,210,545.100000,A,1
45,D,M,C,181.582000,101.400000,260,896.400000,A,1
32,D,M,C,131.457000,101.400000,214,660.600000,A,1
37,D,M,C,160.635000,93,332,975,A,1
40,D,M,E,158.559000,72.600000,229,712.800000,A,0
27,D,M,K,125.811000,52.200000,268,729.600000,A,1
14,D,M,G,132.240000,53.400000,205,543,A,1
30,D,M,C,142.309000,70.200000,257,765.300000,A,1
66,D,M,K,156.161000,55.200000,463,909.600000,A,1
27,D,M,B,177.487000,15.500000,389,721.100000,A,1
31,D,M,G,177.613000,57.600000,528,945,A,1
32,D,M,G,183.442000,71.500000,378,809.800000,A,1
20,D,M,C,147.656000,79.800000,228,658.500000,A,1
70,D,M,E,145.456000,102,260,750.900000,A,0
14,D,M,G,149.910000,84,375,723.300000,A,1
26,D,M,C,123.280000,55.500000,415,690.300000,A,1
39,D,M,K,173.589000,151.200000,373,785.700000,A,1
30,D,M,G,113.684000,86.400000,267,590.100000,A,1
23,D,M,G,175.734000,73,483,906.400000,A,1
34,D,M,E,116.570000,87.500000,292,526.400000,A,0
40,D,M,G,134.503000,117.600000,311,615.600000,A,1
56,D,M,C,138.135000,55.200000,464,830.700000,A,1
53,D,M,C,172.119000,138,433,783.300000,A,1
45,D,M,C,181.038000,89.500000,399,863.800000,A,1
37,D,M,C,171.226000,129.600000,337,793.500000,A,1
20,D,M,E,154.061000,61.200000,459,939.300000,A,0
36,D,M,E,169.947000,57,405,872.100000,A,0
17,D,M,C,136.969000,78,299,777.900000,A,1
41,D,M,C,133.468000,107.400000,300,672.300000,A,1
17,D,M,K,138.361000,80.400000,360,822.300000,A,1
31,D,M,G,154.227000,141,405,791.400000,A,1
25,D,M,K,154.702000,127.800000,258,637.500000,A,0
14,D,M,C,128.833000,57.600000,291,582.900000,A,1
15,D,M,G,149.324000,116.400000,422,841.800000,A,1
45,D,M,K,144.101000,93.600000,461,975.900000,A,1
13,D,M,G,153.423000,76.200000,282,543.900000,A,1
17,D,M,K,136.078000,51.600000,392,646.800000,A,1
42,D,M,E,139.722000,67.800000,254,556.800000,A,0
24,D,M,E,145.078000,71.500000,78,562,A,0
16,D,M,K,115.822000,58.200000,125,513,A,1
50,D,M,A,165.008000,31.800000,186,632.700000,A,1
18,D,M,E,130.186000,50.400000,323,762,A,0
44,D,M,B,191.792000,63,133,741,A,0
32,D,M,G,137.020000,73.200000,298,759.300000,A,1
49,D,M,K,155.842000,77.400000,209,580.800000,A,1
21,D,M,E,144.333000,110,151,533.300000,A,0
23,D,M,C,152.820000,93,197,611.100000,A,1
23,D,M,K,184.633000,89.400000,238,993.600000,A,1
46,D,M,G,143.987000,79,114,674.800000,A,1
23,D,M,G,160.139000,131.400000,178,751.200000,A,1
40,D,M,C,140.555000,97.800000,174,800.400000,A,1
37,D,M,C,198.537000,52.800000,202,929.100000,A,1
20,D,M,C,175.755000,158.400000,131,945.900000,A,1
45,D,M,E,157.791000,120,227,808.500000,A,0
27,D,M,C,157.575000,105,197,797.100000,A,0
35,D,M,G,177.639000,52.800000,152,852.600000,A,1
17,D,M,E,142.798000,85.800000,180,619.800000,A,0
21,D,M,C,152.581000,65.400000,205,514.500000,A,1
37,D,M,E,109.224000,73.800000,79,612.900000,A,0
14,D,M,C,153.181000,82.200000,307,862.800000,A,1
21,D,M,E,154.334000,94,174,532.900000,A,0
47,D,M,C,109.683000,72,170,541.800000,A,1
31,D,M,E,193.567000,72.600000,227,952.200000,A,1
43,D,M,A,199.798000,34.800000,213,854.100000,A,1
38,D,M,E,167.634000,96,211,872.100000,A,0
46,D,M,C,126.404000,74,149,571.400000,A,1
21,D,M,G,139.762000,55,133,556.600000,A,0
34,D,M,E,151.667000,52.500000,287,637.200000,A,1
17,D,M,C,153.399000,54.600000,218,749.400000,A,1
19,D,M,E,151.887000,94.800000,174,861.300000,A,0
32,D,M,E,150.872000,109.800000,253,867.300000,A,0
47,D,M,I,166.011000,103.500000,106,818.700000,A,0
60,D,M,E,136.603000,52,124,751.900000,A,0
29,D,M,D,197.764000,0,136,989.100000,C,0
51,D,M,C,160.543000,75,155,705,A,1
16,D,M,E,130.216000,50.400000,134,564.600000,A,0
15,D,M,C,181.908000,102,210,855,A,1
35,D,M,E,166.446000,89.400000,152,895.500000,A,0
12,D,M,C,179.208000,104.400000,198,946.500000,A,1
38,D,M,C,152.727000,59.500000,99,657.100000,A,1
45,D,M,K,155.505000,91,131,546.400000,A,1
14,D,M,G,146.805000,51.500000,167,900.800000,A,1
20,D,M,E,112.032000,69,99,526.800000,A,0
23,D,M,G,145.734000,78.500000,67,504.500000,A,1
41,D,M,G,158.030000,66,81,565.500000,A,1
13,D,M,C,143.770000,76.500000,205,851.400000,A,1
18,D,M,E,117.684000,87.500000,173,563,A,0
46,D,M,C,122.152000,116.400000,107,515.100000,A,1
29,D,M,G,145.310000,60.600000,116,811.800000,A,1
32,D,M,K,173.993000,87,318,903.600000,A,1
54,D,M,G,149.949000,59.400000,126,502.200000,A,1
52,D,M,G,144.193000,106.500000,224,810.900000,A,1
24,D,M,G,156.347000,109.200000,104,548.100000,A,1
31,D,M,B,184.136000,94.200000,314,773.700000,A,0
41,D,M,K,133.761000,76.500000,119,658.200000,A,1
34,D,M,K,140.917000,87.600000,144,503.400000,A,0
17,D,M,K,146.391000,65.500000,189,541,A,1
13,D,M,K,188.833000,89.400000,308,987.900000,A,1
40,D,M,G,172.816000,68.400000,298,681.600000,A,1
21,D,M,K,158.439000,147,241,700.200000,A,1
59,D,M,E,140.923000,52,249,835.900000,A,0
50,D,M,C,129.806000,82.500000,104,615.600000,A,1
24,D,M,E,138.783000,97,158,597.400000,A,0
18,D,M,C,171.412000,114,154,837.600000,A,1
52,D,M,K,122.409000,90.500000,197,727.400000,A,1
47,D,M,E,135.247000,50,135,560.600000,A,0
35,D,M,C,149.431000,70.800000,150,548.400000,A,1
60,D,M,K,128.819000,58.800000,211,618.900000,A,1
43,D,M,K,127.673000,118.500000,194,699.300000,A,1
42,D,M,G,128.224000,99.600000,188,532.200000,A,0
32,D,M,E,116.916000,62,118,658.700000,A,0
31,D,M,C,157.898000,104.400000,302,966.600000,A,1
38,D,M,E,112.735000,78.500000,120,560.300000,A,0
28,D,M,G,189.534000,114,205,974.700000,A,1
31,D,M,E,127.376000,81.600000,154,669.600000,A,0
42,D,M,C,164.755000,75,150,805.800000,A,1
39,D,M,C,159.333000,88.500000,190,643.500000,A,1
54,D,M,E,157.329000,50,158,632.300000,A,0
32,D,M,G,117.601000,93.600000,179,502.500000,A,1
37,D,M,C,145.855000,103.200000,218,625.500000,A,0
39,D,M,E,178.936000,116.400000,240,851.100000,A,0
29,D,M,G,166.638000,70.800000,93,707.400000,A,1
45,D,M,E,142.993000,75.600000,172,630.300000,A,0
57,D,M,E,158.163000,88.800000,209,608.100000,A,0
30,D,M,G,153.390000,52.200000,152,591.900000,A,1
34,D,M,E,122.975000,106.500000,164,662.400000,A,0
20,D,M,C,147.138000,70.800000,131,652.200000,A,1
29,D,M,C,115.180000,135.600000,142,659.700000,A,1
40,D,M,G,128.372000,66.600000,54,515.700000,A,1
46,D,M,G,134.045000,61.800000,252,585,A,1
47,D,M,E,131.921000,81.600000,126,667.800000,A,0
36,D,M,E,153.054000,53.400000,195,519.600000,A,0
32,D,M,G,132.013000,54,162,628.800000,A,1
28,D,M,G,196.307000,105.600000,321,972.600000,A,1
50,D,M,K,162.535000,56.400000,224,871.800000,A,1
38,D,M,C,158.450000,91.200000,109,636.600000,A,1
21,D,M,E,162.882000,57,184,887.100000,A,0
28,D,M,G,128.505000,69.500000,99,715.100000,A,1
21,D,M,E,187.900000,57.500000,199,894.500000,A,0
36,D,M,K,161.998000,65.400000,254,915,A,1
53,D,M,K,116.873000,79.200000,187,507.600000,A,1
66,D,M,E,144.512000,52,228,802,A,0
70,D,M,K,194.221000,57,109,948.900000,A,1
41,D,M,G,174.877000,69,87,766.500000,A,1
23,D,M,C,160.233000,51,259,873.300000,A,1
29,D,M,G,160.017000,81.600000,354,926.100000,A,1
13,D,M,E,120.113000,75,239,627,A,0
30,D,M,E,118.779000,82.800000,114,555.300000,A,0
30,D,M,G,160.134000,110.400000,82,671.100000,A,1
27,D,M,E,160.766000,52,241,796,A,0
26,D,M,E,151.347000,105.600000,83,730.200000,A,1
15,D,M,E,142.491000,78,216,612.600000,A,0
21,D,M,K,156.428000,51,240,719.400000,A,1
18,D,M,C,163.665000,53.400000,311,944.700000,A,1
43,D,M,C,164.235000,60,114,706.200000,A,1
13,D,M,G,157.541000,102,170,875.100000,A,1
32,D,M,E,164.857000,95.400000,88,738.300000,A,1
36,D,M,C,144.986000,59.400000,217,975.600000,A,1
38,D,M,G,164.611000,112.200000,296,931.800000,A,1
47,D,M,C,181.108000,108.600000,209,788.400000,A,0
21,D,M,E,166.612000,63.600000,235,732,A,0
17,D,M,E,159.763000,67.200000,115,807.900000,A,0
26,D,M,K,141.181000,95.400000,82,617.700000,A,1
19,D,M,K,183.098000,100.800000,254,795.300000,A,1
42,D,M,G,171.446000,64,335,974.500000,A,1
54,D,M,G,161.501000,91.200000,218,688.500000,A,1
46,D,M,K,158.216000,60.500000,98,544.700000,A,1
15,D,M,K,153.788000,64.200000,78,580.500000,A,1
43,D,M,K,167.015000,148.800000,195,874.200000,A,1
12,D,M,C,160.969000,139,118,697,A,1
38,D,M,G,135.162000,82.800000,164,565.800000,A,1
49,D,M,C,148.188000,70.200000,202,652.800000,A,1
30,D,M,C,181.189000,120.600000,259,954,A,1
14,D,M,G,171.401000,114.600000,327,882,A,1
18,D,M,E,157.376000,69.500000,203,924.800000,A,1
23,D,M,G,146.563000,94.800000,258,952.200000,A,1
20,D,M,C,187.492000,74.400000,145,896.400000,A,1
21,D,M,E,155.294000,57,204,588,A,0
42,D,M,G,192.416000,70.200000,245,815.100000,A,1
20,D,M,C,193.107000,55.200000,229,915,A,1
35,D,M,K,153.739000,67.200000,101,633.900000,A,1
25,D,M,G,167.554000,68,184,700.700000,A,1
20,D,M,C,174.020000,69.500000,212,912.500000,A,0
20,D,M,E,154.497000,71.400000,155,586.200000,A,0
12,D,M,E,139.379000,55.500000,108,816,A,0
30,D,M,E,117.204000,70.200000,87,637.200000,A,0
48,D,M,E,145.539000,55.500000,137,765.300000,A,0
29,D,M,E,146.511000,106.200000,105,758.700000,A,0
